typegodkjenningsnr;eu_hovednummer;merkekode;modellbetegnelse;typebetegnelse;kjoretoygruppe;ramme_karosseri;motorytelse;slagvolum;drivstoff;lengde;bredde;std_dekk_foran;std_dekk_bak;std_felg_foran;std_felg_bak;min_li_foran;min_li_bak;min_hast_foran;min_hast_bak;min_innpress_foran;min_innpress_bak;maks_sporv_foran;maks_sporv_bak;motormerking;girkasse;stand_dba;omdreininger;totalvekt;egenvekt;till_foraksellast;till_bakaksellast;variant;versjon;gyldig_fra_unr;drivende_hjul;vognkort_anm;identitet_anm;antall_aksler;antall_aksler_drift;tilhengervekt_m_brems;tilhengervekt_u_brem;lengde_til_tilhkobling;max_belastning_h_feste;max_taklast;vogntogvekt;ytelsesmaal;co2_utslipp;sitteplasser;fab_mont_partikkelfilter
540011994;;1650;"SILVERADO 2500 4X4";"?GCFK29S";301;"SEPARAT, LUKKET FØRERHUS MED 2 DØRER, ÅPENT LASTEPLAN";134;6500;2;554;195;"LT 245/75 R 16";"LT 245/75 R 16";"6.5\"";"6.5\"";"110";"110";;;6;6;"1628";"1622";"L56";"AUTOMAT";84;2550;3501;2500;1701;2118;;;"?GCFK29S???100001";"BAK";;;2;2;0;0;0;0;0;0;1;0;5;0
56660062011;"e11*2007/46*0010*10";5150;"YETI";"5L";101;"STASJONSVOGN";77;1197;1;422;179;"215/60R16";"215/60R16";"7JX16";"7JX16";"84";"84";"S";;45;45;"1541";"1537";"CBZ";"MANUELL";71;3750;1885;1265;950;980;"ACCBZBX0";"NFM6FM6AJ007";"??????5L?????????";;"EGENVEKT OG NYTTELAST ER VEILEDENDE-AVHENGIG AV UTSTYRSNIVÅ";;2;1;1200;600;0;80;100;3085;1;149;5;0
51401782015;"e1*2007/46*0200*23";3900;"E 220 BLUETEC";"212 K";101;"STASJONSVOGN";125;2143;2;491;185;"225/55R16 XL";"225/55R16 XL";"7.5JX16";"7.5JX16";"97";"97";"Y";;46;46;"1625";"1607";"651924";"AUTOMAT";73;2850;2430;1790;1105;1325;"J20RP0";"CZCCB504";"WDD??????????????";"BAK";"EGENVEKT OG NYTTELAST ER VEILEDENDE - AVHENGIG AV UTSTYR;";;2;1;2100;750;0;84;100;4630;1;127;5;2
3430011988;;4350;"KADETT COMBO";"WOL000038?E";311;"SELVBÆRENDE, LUKKET MED 2 SIDEDØRER OG DOBBELTDØR BAK";60;1598;1;422;167;"165 R 13";"165 R 13";"5J";"5J";"85";"85";"Q";;49;49;"1400";"1427";;"MANUELL";0;0;1650;960;690;1020;;;"WOL000038?E000001";"FORAN";;;2;1;900;400;0;50;0;0;1;0;2;0
4070021982;;5750;"PASSAT C  TURBO D.";"32 B";101;;0;1588;2;454;169;"165 SR 13";"165 SR 13";"5 1/2J";"5 1/2J";"RADIAL";"RADIAL";;;0;0;"0000";"0000";;;0;0;1600;1090;860;860;;;;;;;2;1;1090;545;0;0;0;0;1;0;5;0
54720282012;"e1*2007/46*0548*03";3900;"SLK 200";"172";101;"KABRIOLET";135;1796;1;414;181;"225/40R18 XL";"245/35R18 XL";"7,5JX18";"8,5JX18";"83";"83";"Y";;42;36;"1550";"1567";"271861";"AUTOMAT";79;3750;1785;1395;900;955;"K4S8M0";"NZAAA222";"WDD??????????????";;"EGENVEKT OG NYTTELAST ER VEILEDENDE-AVHENGIG AV UTSTYRSNIVÅ";;2;1;0;0;0;0;0;0;1;151;2;0
55721492006;"e1*2001/116*0286*09";5750;"TRANSPORTER";"7HCA";101;"FLERBRUKSBIL";96;2461;2;529;190;"205/65R16 C";"205/65R16 C";"6,5JX16";"6,5JX16";"102";"102";"R";;51;51;"1628";"1628";"BNZ";"MANUELL";75;2625;3000;2005;1680;1550;"ND50BNZX1";"LV300AM6A50527GG";"??????7H?????????";;"EGENVEKT OG NYTTELAST ER VEILEDENDE-AVHENGIG AV UTSTYRSNIVÅ";;2;2;2500;750;0;100;100;5300;1;240;9;2
2190011996;;1230;"A4 2.6";"B5";101;"SELVBÆRENDE, LUKKET MED 4 DØRER";110;2598;1;448;173;"195/65 R 15";"195/65 R 15";"6J";"6J";"85";"85";"V";;45;45;"1495";"1479";"ABC";"MANUELL";79;4125;1805;1265;1010;900;;;"WAUZZZ8DZ??000001";"FORAN";"VEKTTILLEGG: TAKLUKE 18 KG. AC 24 KG. LYKTESPYLERE 4 KG.";"MAN.GIR.";2;1;1500;630;0;75;75;3230;1;0;5;0
60042007;;5750;"MULTIVAN TDI";"7HM";315;"LUKKET MED 3 EL. 4 SIDEDØRER OG BAKLUKE EL. BAKDØRER.";128;2461;2;489;190;"215/65 R 16 C";"215/65 R 16 C";"6J";"6J";"100";"100";"R";;49;49;"1620";"1628";"BPC";"MANUELL";75;2625;3000;2110;1575;1500;;;"WV2ZZZ7HZ??000001";"FORAN";;"MANUELL,EFFEKT 128 KW. AKSELAVST. 300 CM. TOT.VEKT 3000 KG";2;1;2500;750;0;100;100;5200;1;221;2;2
64801552014;"e1*2001/116*0211*35";5750;"TOURAN";"1T";101;"FLERBRUKSBIL";130;1968;2;440;179;"205/50R17";"205/50R17";"6JX17";"6JX17";"92";"92";"Y";;47;47;"1541";"1514";"CFJ";"AUTOMAT";70;2375;2290;1564;1180;1170;"CFJBAF";"FD6FD62E0187MJS7N1VR0SO";"??????1T?????????";;"EGENVEKT OG NYTTELAST ER VEILEDENDE - AVHENGIG AV UTSTYR. ;";;2;1;1600;750;0;75;100;3925;1;150;7;2
57361472010;"e1*2007/46*0374*01";4350;"INSIGNIA LIMOUSINE H";"0G-A";101;"FLERBRUKSBIL";81;1956;2;483;186;"215/60R16";"215/60R16";"6,5JX16";"6,5JX16";"88";"88";"T";;41;41;"1585";"1587";"A20DT";"MANUELL";78;3000;2140;1538;1110;1070;"DJ11";"1A02B9ACAEJ5";"W0LG?????????????";;"EGENVEKT OG NYTTELAST ER VEILEDENDE-AVHENGIG AV UTSTYRSNIVÅ";;2;1;1600;750;0;85;0;3805;1;133;5;2
55000602002;"e1*98/14*0097*11";1400;"325I";"346L";101;"STASJONSVOGN";141;2494;1;448;174;"205/50R17";"205/50R17";"7JX17";"7JX17";"89";"89";"W";;47;47;"1483";"1493";"256S5";"MANUELL";80;4500;2000;1460;915;1150;"EN31";"07";"WB???????????????";;"EGENVEKT OG NYTTELAST ER VEILEDENDE-AVHENGIG AV UTSTYRSNIVÅ";;2;1;1600;720;0;75;75;3635;1;221;5;0
2860021974;;4350;"COMMODORE GS 2.8 AUT";"COMMODORE-B-COUPE";101;;0;2784;1;461;173;"175 HR X 13";"175 HR X 13";"6\"";"6\"";"RADIAL";"RADIAL";;;0;0;"0000";"0000";;;0;0;1680;1280;810;880;;;;;;;2;1;1130;630;0;0;0;0;1;0;5;0
58941572009;"e1*2001/116*0502*04";3900;"E 350 CGI";"207";101;"KABRIOLET";215;3498;1;470;179;"235/40R18";"255/35R18 XL";"8JX18 H2";"8,5JX18";"90";"90";"Y";;45;48;"1538";"1544";"272984";"AUTOMAT";82;4800;2260;1715;1100;1185;"L457M0";"NZAAA411";"WDD??????????????";;"EGENVEKT OG NYTTELAST ER VEILEDENDE-AVHENGIG AV UTSTYRSNIVÅ";;2;1;1800;750;0;75;0;4060;1;208;4;0
50250231999;"e1*96/79*0071*08";5750;"GOLF";"1J";101;"LUKKET MED 2 DØRER OG BAKLUKE";110;1781;1;415;174;"205/55R16";"205/55R16";"6 1/2J";"6 1/2J";"82";"82";"V";;38;38;"1516";"1494";"AGU";"MANUELL";78;4275;1740;1231;950;895;"SCAGUX01";"SGFM52J013M2";"??????1J?????????";;"EGENVEKT OG NYTTELAST ER VEILEDENDE-AVHENGIG AV UTSTYRSNIVÅ";;2;1;1300;600;0;75;0;3040;1;0;5;0
210282008;;2600;"TRANSIT 140 T350 GLX";"FAG6";315;"SEPARAT RAMME, LUKKET MED 3 ELLER 4 SIDEDØRER OG BAKLUKE/";103;2198;2;568;197;"215/75R16";"215/75R16";"5.5 J";"5.5 J";"113";"113";"R";;56;56;"1753";"1721";"PGFA";"MANUELL";86;2625;3500;2040;1750;2250;;;"WF0XXX??FX??00001";"FORAN";;"VOGNTOGVEKT 5200 KG. DIF.UTVEKSLING 4.93:1.ANTALL SITTEPL.3";2;1;2800;750;0;112;100;5500;1;222;3;1
67034492016;"e1*2001/116*0450*30";5750;"TIGUAN";"5N";101;"STASJONSVOGN";110;1968;2;449;184;"215/65R17";"215/65R17";"6.5JX17";"6.5JX17";"99";"99";"V";;38;38;"1586";"1576";"DFG";"AUTOMAT";69;2375;2320;1598;1190;1180;"ACDFGAX1";"NAD7AD7DL003GN5NVR27MM62";"??????5N?????????";"ALLE";"EGENVEKT OG NYTTELAST ER VEILEDENDE - AVHENGIG AV UTSTYR;";;2;2;2500;750;0;100;75;4820;1;147;5;2
54860032006;"e2*2001/116*0317*03";1750;"C3";"F*8HZ*";101;"SEDAN MED BAKLUKE";50;1398;2;386;167;"175/65R14";"175/65R14";"5,50X14";"5,50X14";"78";"78";"R";;24;24;"1439";"1440";"8HZ";"MANUELL";79;3000;1540;1087;850;820;"FL8HZ*";"FL8HZC";"???F?8HZ?????????";;"EGENVEKT OG NYTTELAST ER VEILEDENDE-AVHENGIG AV UTSTYRSNIVÅ";;2;1;1160;580;0;47;0;2440;1;115;5;1
