kjennemerke;understellsnr;reg_aar;reg_forsteg_norge;merkekode;modellbetegnelse;typebetegnelse;kjoretoygruppe;motorytelse;slagvolum;drivstoff;lengde;bredde;std_dekk_foran;std_dekk_bak;std_felg_foran;std_felg_bak;min_li_foran;min_li_bak;min_hast_foran;min_hast_bak;min_innpress_foran;min_innpress_bak;sporvidde_foran;sporvidde_bak;totalvekt;egenvekt;akseltrykk_foran;akseltrykk_bak;eu_variant;eu_versjon;bruktimportert;avreg_dato;farge;antall_aksler;antall_aksler_drift;tilhengervek_m_brems;tilhengervekt_u_brems;lengde_til_tilhkobling;max_belastning_h_fest;max_taklast;vogntogvekt;ytelsesmaal;sist_pkk_godkjent;neste_pkk;siste_reg_dato;reg1g;co2_utslippp;euronorm;sitteplasser;fab_mont_partikkelfilter
"CK03220";"EX88067";1988;19880804;1860;"EX SW 1250";"-";709;0;0;0;565;220;;"185 SR 14";;;;"90S";;;0;0;0;0;1250;520;0;1250;;;0;0;;1;0;0;0;0;0;0;0;0;0;0;19950213;0;0;;0;0
"BD39330";"SRX9490";1971;20040604;4900;"SILVER SHADOW";"FDS";101;162;6750;1;517;180;"215/75R15";"215/75R15";;;;;;;0;0;0;0;2653;2178;0;0;;;1;0;"SVART (FLERFARGET)";2;1;0;0;0;0;0;0;1;20150817;20211031;20040625;101;0;;5;0
"AS48110";"WBA5L51020G220818";2015;20160413;1400;"520D XDRIVE";"5K";101;120;1995;2;491;186;"225/55R17";"225/55R17";"8JX17";"8JX17";"90";"96";"V";;30;30;1606;1632;2480;1840;1170;1420;"5L51";"6A25R000";1;0;"HVIT";2;2;2000;750;0;90;0;4570;1;0;20191031;20160420;805;132;"6";5;2
"ZE90810";"10039";1971;19711125;5800;"F85-42";"-";320;121,32;5100;2;685;240;"10.00 X 20\"";"10.00 X 20\"";;;"14";"14";;;0;0;0;0;12000;6190;4100;309000;;;0;19851011;;2;1;0;0;0;0;0;0;1;0;20171031;19850130;0;0;"U";3;0
"KF61580";"WDB2020181F344204";1995;19960710;3900;"C 180";"-";101;90;1799;1;449;172;"195/65 R 15 E";"195/65 R 15 E";"6,5\"";"6,5\"";"79";"90";"H";;0;0;0;0;1830;1350;870;990;;;1;0;"SØLV";2;1;1575;675;0;0;0;0;1;20170731;20191031;20120903;0;0;;5;0
"HB04570";"586925";1972;19720208;9120;"167 - 770";"-";401;40;2395;2;286;163;"6.00 X 16";"11 X 28";;;"6";"4";;;0;0;0;0;3140;1600;1240;1900;;;0;0;;2;1;0;0;0;0;0;0;0;0;0;20010827;0;0;;1;0
"NE06890";"MELBYE3";1975;19750725;0;"-";"-";709;0;0;0;275;137;"4.00X8";;;;"6";;;;0;0;0;0;450;140;0;0;;;0;0;;1;0;0;0;0;0;0;0;0;0;0;19750725;0;0;;0;0
"ST73010";"JMBHZPB5VYA002221";2002;20021230;4011;"L 400 TURBO D";"PB5VHLZDTL6";301;64;2477;2;500;170;"185 R 14 C";"185 R 14 C";"5 J";"5 J";"102";"102";"N";;40;40;1445;1420;2700;1695;1200;1700;;;0;0;"HVIT";2;1;1200;600;0;75;150;3900;1;20170212;20181031;20050718;1230;0;;6;0
"KA07140";"1HFSC47413A200776";2002;20170331;7740;"GL1800 GOLD WING";"SC47";620;87;1832;1;264;95;"130/70R18";"180/60R16";"3,50X18";"5,00X16";"58";"74";"U";;0;0;0;0;607;405;232;375;;;1;0;"BLÅ";2;1;0;0;0;0;0;0;1;0;0;20170331;831;0;;2;0
"RK81120";"YV2RT60DXEA769164";2014;20141015;5800;"FH 540";"FH64T";340;405;12777;2;707;255;"385/55R22,5";"295/60R22,5";"11.75";"9.00";"156";"142";"G";;0;0;2109;1837;29000;10300;8000;21000;;;0;0;"GRØNN";3;2;0;0;449;20000;0;60000;1;20170926;20181031;20170601;1015;0;"6";2;1
