Kode;Navn
1;Bensin
2;Diesel
3;Parafin
4;Gass
5;Elektrisk
6;Hydrogen
9;Annen
10;Biodiesel
11;Biobensin
12;LPG-gass
13;CNG-gass
14;Metanol
15;Etanol
16;LPG-A
17;LPG-B
18;CNG 20
19;CNG 25
20;Komprimert luft
