Kode;Navn
9103;CASE IH
9100;CASE INTERNATIONAL
9101;CASE INTERNATIONAL
3530;CATERHAM
1244;CATERPILLAR
0276;CAV
0640;CAVALIER
0076;CBS REMORQUES
6950;CCM
7932;CECTEK
8165;CEMOTO
7310;CEZETA
8170;CFMOTO
7600;CH RACING
2660;CHALLENGER
0464;CHAMPION
1234;CHANG JIANG
0924;CHAOYA
8471;CHAOYUE
1310;CHATEAU
6970;CHATENET
0802;CHAUSSON
0712;CHECKER
2630;CHEREAU
0922;CHERY
2490;CHESS
1014;CHEVAL LIBERTE
1650;CHEVROLET
3332;CHEVROLET DAEWOO
1114;CHIEFTAIN
0971;CHIHUI
1034;CHRIST
1700;CHRYSLER
5050;CHRYSLER FRANCE
5051;CHRYSLER FRANCE
5300;CHRYSLER UK
5301;CHRYSLER UK
7430;CHUANL
6680;CHUN LAN
0557;CI
0350;CI EUROPA
0190;CI SAVSJØ
0730;CI SPRITE
0731;CI SPRITE
0850;CI WILK
0851;CI WILK
1750;CITROEN
7750;CITY BUG
0871;CITYCOCO
8690;CLAAS
6900;CLASSIC
0224;CLEAN MOTION AB
0724;CLEVELAND
1066;CLUB CAR,LLC
0114;CMS AUTO
1092;CMT CHOJNICE
0266;CN AGRO
1216;CO
0067;CO SLÄPET
1257;COFISA
0650;COLCHESTER
4012;COLT
2870;COMANCHE
1048;COMARTH
0770;COMBI CAMP
0956;COMBISALESWAGON
1790;COMMER
0091;CONCEPT BERGHEIM
0071;CONCEPT TRAILER
4120;CONCORDE
0987;CONDOR
0026;CONSTRUCTAM
0241;CONTEMPORARY CLASSIC
1360;CONWAY
1090;CORSAR
0269;CORTES
0962;CORVUS
0914;COUNTRY
9110;COUNTY
6940;CPI
8162;CRALLE
1175;CRAVEN TASKER
8010;CRESCENT
0206;CRESCI RIMORCHI
0061;CRYO 
1167;CRYOLOR
0012;CS-REISEMOBIL
0487;CSEPEL
8132;CSR
8720;CUB CADET
0236;CUBY
1262;CYMERMAN
7921;CZ
0585;D*SIGN
3430;DAB
3290;DACIA
8180;DADYW
1249;DAEDONG
6980;DAELIM
3330;DAEWOO
1850;DAF
8465;DAFIER
8300;DAIFO
2030;DAIHATSU
1900;DAIMLER
0079;DALAVAGNEN
0151;DALE KANE TRAILERS
0170;DALEN
0492;DALERY
0305;DAMCO
0270;DAMM
1820;DAN TRAILERS
3980;DANGEL
0020;DANSON
0980;DANTRA
7340;DANUVIA
0280;DAPA
2002;DATSUN
9120;DAVID BROWN
0755;DAVIDO
0757;DAVINO
0144;DAX
8131;DB
0796;DBS
0684;DE ANGELIS
0121;DE FORENEDE TRAILERFABRIKKER A/S
2150;DE SOTO
0736;DE TOMASO
0314;DEBON
1211;DELOREAN
3210;DELTA
0604;DEMAG
0203;DEMARKO SPECIAL TRAILERS
0991;DEMMLER
0632;DENNIS EAGLE / VPI
0603;DENNISON
6860;DERBI
0810;DERVO
0870;DETHLEFFS
9160;DEUTZ
9161;DEUTZ-FAHR
6790;DI BLASI
0368;DIAMANT
2190;DIAMOND
0547;DIBO
0279;DIESELLA
2140;DIGUE SARL
1138;DINAPOLIS
0674;DINKEL
7120;DINLI
0675;DINO
8340;DIVINE STAR&MOON
2200;DKW
2201;DKW
1174;DNEPR
0090;DO-WA
2250;DODGE
0776;DOGEBOS
1263;DOLL
0992;DOMANTAS
0141;DOMATAS
8760;DONG FENG
0703;DOOHAN
1143;DOOLEY
1253;DOOSAN
0953;DOPPSTADT
0990;DORMOBILE
0364;DREAMER
1290;DRENGEN
7905;DRESEL MCT
0256;DS
0693;DT
0488;DUB BOX
7440;DUCATI
0607;DUESENBERG
0601;DUTCH TRAILERS
0133;DUTTON
0290;DUUN-SMIA
0574;DØLEN
1198;E CAR
0641;E COOL BY ALPHA MOBIL
1025;E-MAX
7030;E-TON
7906;E.-ATV RACING GMBH
1701;EAGLE
0491;EASYLINE
1099;EBECO
0329;EBLADET
3010;EBRO
0839;EBUSCO
0900;ECCLES
1124;ECIM
1123;ECKART HUMME
0925;ECKART, HUEMME
8149;ECO-FLASH
0104;ECOTRAILER
0229;EDER
0072;EDSEL
1261;EDUARD
0455;EDWARD DAVIES
7902;EFFEDI
0808;EFUN
0044;EGLMOTOR
7890;EGO CYCLE
7900;EGO VEHICLES
0647;EGYEDI
1007;EHEBAUER FAHRZEUGBAU
0394;EIFELLAND
2780;EKERI
1202;EKSJØVAGNEN
8163;ELBIL NORGE
1093;ELBO
2260;ELDDIS
1860;ELDON TRAILER
0979;ELECTRIC MOTION
0909;ELLEBI
3710;ELNAGH
0970;ELSETH
0355;EM TECH
7933;EMAX
8440;EMEISHAN
0167;EML
0428;EMOSS
2300;EMW
0388;ENERGICA
8321;ENFIELD
0701;ENGELBREKT
0093;ENGEN
0434;EPINO
1213;EQUI-TREK
8150;ERATO
2480;ERDE
1176;ERDOGEP
1960;ERIBA
1109;ERIDER
2570;ERKA
8406;ERLA
0663;ERSKINE
0783;ERT
0629;ES-GE
0383;ESCAPADE
0722;ESREF KAROSER
0419;ESTEREL
0134;ESTERER
1186;ESTRIMA
2980;ETEBRA
2320;ETNA (ESM)
0718;ETRICKS
2340;EUCLID
1010;EURA CARAVAN
3990;EURA MOBIL
0281;EURO
1097;EURO LINER
0116;EUROMOTORS
0436;EUROTANK
0486;EUROVAGON
1142;EUROWAGON
0668;EVANS
